Best trial: 815. Best value: 0.0300953: 100%
 1000/1000 [2:01:27<00:00,  7.88s/it]
[I 2025-08-03 12:09:35,912] Trial 32 finished with value: 0.030646352685800533 and parameters: {'min_abs_corr': 0.006236871612868026, 'max_pair_corr': 0.9833210907304655, 'n_estimators': 1424, 'learning_rate': 0.009559397763915631, 'max_depth': 7, 'num_leaves': 259, 'min_child_samples': 6, 'min_child_weight': 0.021542873565762816, 'subsample': 0.6481836796386004, 'colsample_bytree': 0.4169759702414249, 'reg_alpha': 0.0021140294405217835, 'reg_lambda': 0.09549329742718864}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:09:44,316] Trial 33 finished with value: 0.030803746407471373 and parameters: {'min_abs_corr': 0.006185194489914817, 'max_pair_corr': 1.0031514057521185, 'n_estimators': 1422, 'learning_rate': 0.009176409664117988, 'max_depth': 7, 'num_leaves': 259, 'min_child_samples': 6, 'min_child_weight': 0.021914979445677125, 'subsample': 0.6484826875371967, 'colsample_bytree': 0.43089577801402557, 'reg_alpha': 0.0021168202709793563, 'reg_lambda': 0.09547082065161337}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:09:50,863] Trial 34 finished with value: 0.030836602044394916 and parameters: {'min_abs_corr': 0.006062058084874359, 'max_pair_corr': 1.0313985558847767, 'n_estimators': 1500, 'learning_rate': 0.009645008671283182, 'max_depth': 5, 'num_leaves': 298, 'min_child_samples': 6, 'min_child_weight': 0.02255773565803397, 'subsample': 0.6429228457169418, 'colsample_bytree': 0.4551756919854849, 'reg_alpha': 0.002050718397163727, 'reg_lambda': 0.09545401854080765}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:09:56,947] Trial 35 finished with value: 0.031293742159277015 and parameters: {'min_abs_corr': 0.0057929350253192735, 'max_pair_corr': 0.9307132620379495, 'n_estimators': 1222, 'learning_rate': 0.009599920853567378, 'max_depth': 7, 'num_leaves': 241, 'min_child_samples': 6, 'min_child_weight': 0.022138563872274357, 'subsample': 0.6338851754111797, 'colsample_bytree': 0.4009692357510913, 'reg_alpha': 0.002148232596385078, 'reg_lambda': 0.08775760036403635}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:10:02,107] Trial 36 finished with value: 0.030917492571220406 and parameters: {'min_abs_corr': 0.006248128680520467, 'max_pair_corr': 0.983047425156808, 'n_estimators': 1087, 'learning_rate': 0.009862623907128405, 'max_depth': 6, 'num_leaves': 260, 'min_child_samples': 6, 'min_child_weight': 0.021641355942947537, 'subsample': 0.6577040053427814, 'colsample_bytree': 0.4171085103307584, 'reg_alpha': 0.00204531120412587, 'reg_lambda': 0.0935904752730273}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:10:14,035] Trial 37 finished with value: 0.030948089841353672 and parameters: {'min_abs_corr': 0.006037593216006309, 'max_pair_corr': 0.9894352964833772, 'n_estimators': 1438, 'learning_rate': 0.009467684119052574, 'max_depth': 9, 'num_leaves': 252, 'min_child_samples': 5, 'min_child_weight': 0.022342508265159478, 'subsample': 0.6238102919864784, 'colsample_bytree': 0.46024503815317874, 'reg_alpha': 0.0021225150462167346, 'reg_lambda': 0.0957080216614253}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:10:23,065] Trial 38 finished with value: 0.03122001643688262 and parameters: {'min_abs_corr': 0.005886642649684144, 'max_pair_corr': 0.9523647936885526, 'n_estimators': 1305, 'learning_rate': 0.009270194454463193, 'max_depth': 10, 'num_leaves': 292, 'min_child_samples': 6, 'min_child_weight': 0.021260637935651545, 'subsample': 0.650618726922766, 'colsample_bytree': 0.4289810479571352, 'reg_alpha': 0.00216189458191316, 'reg_lambda': 0.0975629119161327}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:10:24,548] Trial 39 finished with value: 0.051916452668485345 and parameters: {'min_abs_corr': 0.0057496283867882764, 'max_pair_corr': 0.9194847723380057, 'n_estimators': 1097, 'learning_rate': 0.009558087495838257, 'max_depth': 1, 'num_leaves': 280, 'min_child_samples': 6, 'min_child_weight': 0.021991668407720405, 'subsample': 0.6612980958104145, 'colsample_bytree': 0.43469416423530793, 'reg_alpha': 0.0020843207605544885, 'reg_lambda': 0.08868626909807503}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:10:31,659] Trial 40 finished with value: 0.030664938194753234 and parameters: {'min_abs_corr': 0.0062382784128067375, 'max_pair_corr': 0.9744628342198658, 'n_estimators': 1185, 'learning_rate': 0.009725007755971378, 'max_depth': 7, 'num_leaves': 255, 'min_child_samples': 5, 'min_child_weight': 0.02089564806533596, 'subsample': 0.6381647685896475, 'colsample_bytree': 0.45312041000449566, 'reg_alpha': 0.002032734104563074, 'reg_lambda': 0.09442286443211499}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:10:39,812] Trial 41 finished with value: 0.030898455840986643 and parameters: {'min_abs_corr': 0.0062460048874126385, 'max_pair_corr': 0.9718966345166616, 'n_estimators': 1221, 'learning_rate': 0.009704739648674172, 'max_depth': 8, 'num_leaves': 246, 'min_child_samples': 5, 'min_child_weight': 0.020860758863476634, 'subsample': 0.6399763397440265, 'colsample_bytree': 0.4549874559798833, 'reg_alpha': 0.0020370083450245674, 'reg_lambda': 0.09403778641520688}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:10:45,945] Trial 42 finished with value: 0.0307797680130689 and parameters: {'min_abs_corr': 0.006117546922748197, 'max_pair_corr': 0.9412594888081194, 'n_estimators': 1300, 'learning_rate': 0.00944775552859497, 'max_depth': 6, 'num_leaves': 256, 'min_child_samples': 5, 'min_child_weight': 0.021324753676745228, 'subsample': 0.6548744409906871, 'colsample_bytree': 0.44744382623299095, 'reg_alpha': 0.002073668467462622, 'reg_lambda': 0.09735834327862117}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:10:55,243] Trial 43 finished with value: 0.03072438977599764 and parameters: {'min_abs_corr': 0.006289562183250172, 'max_pair_corr': 1.0030694200950738, 'n_estimators': 1406, 'learning_rate': 0.009950964450039927, 'max_depth': 7, 'num_leaves': 267, 'min_child_samples': 5, 'min_child_weight': 0.021029218000664814, 'subsample': 0.6442108668682388, 'colsample_bytree': 0.45059488270999987, 'reg_alpha': 0.0020203659914515442, 'reg_lambda': 0.08229553778305697}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:11:00,970] Trial 44 finished with value: 0.03060762952983534 and parameters: {'min_abs_corr': 0.0061360002198255145, 'max_pair_corr': 0.956181195666612, 'n_estimators': 1168, 'learning_rate': 0.009376958197829719, 'max_depth': 6, 'num_leaves': 286, 'min_child_samples': 5, 'min_child_weight': 0.02062956352239724, 'subsample': 0.6371650223536744, 'colsample_bytree': 0.44168859346557393, 'reg_alpha': 0.0021119462661884606, 'reg_lambda': 0.0946154647548336}. Best is trial 21 with value: 0.03025798159015493.
