Best trial: 961. Best value: 0.0309166: 100%
 1000/1000 [1:01:28<00:00,  1.75s/it]
[I 2025-08-01 09:16:11,524] Trial 32 finished with value: 0.0579994981227225 and parameters: {'min_abs_corr': 0.05683957772429852, 'max_pair_corr': 0.957613976947943, 'n_estimators': 1053, 'learning_rate': 0.0030959532665585095, 'max_depth': 4, 'min_child_weight': 0.005269383434490507, 'subsample': 0.8572906393500376, 'colsample_bytree': 0.9949311823029372, 'gamma': 0.0637241422227213, 'reg_alpha': 2.3065686715755227, 'reg_lambda': 1.2554640644590394}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:13,571] Trial 33 finished with value: 0.09352476832521085 and parameters: {'min_abs_corr': 0.057454684236153644, 'max_pair_corr': 0.956787872104839, 'n_estimators': 901, 'learning_rate': 0.002920325286381418, 'max_depth': 4, 'min_child_weight': 0.005598206060655292, 'subsample': 0.8561476470403361, 'colsample_bytree': 0.9902262039595557, 'gamma': 1.0222265328364444, 'reg_alpha': 2.414843433346116, 'reg_lambda': 1.2366545366100237}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:15,690] Trial 34 finished with value: 0.0921312784648837 and parameters: {'min_abs_corr': 0.0376537670790576, 'max_pair_corr': 0.947436927668282, 'n_estimators': 1052, 'learning_rate': 0.0069572462800205175, 'max_depth': 4, 'min_child_weight': 0.025499785016779, 'subsample': 0.8077965257040273, 'colsample_bytree': 0.9988645521697533, 'gamma': 1.4011554123569299, 'reg_alpha': 0.5933051232473032, 'reg_lambda': 0.6658078029818284}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:17,069] Trial 35 finished with value: 0.08028623094357194 and parameters: {'min_abs_corr': 0.07025965007776369, 'max_pair_corr': 0.977355714740652, 'n_estimators': 674, 'learning_rate': 0.019467351129713397, 'max_depth': 2, 'min_child_weight': 0.0064834095516653045, 'subsample': 0.9005938580022957, 'colsample_bytree': 0.9573047923380218, 'gamma': 0.4494443998935093, 'reg_alpha': 3.3474299569666375, 'reg_lambda': 2.378700370812161}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:19,736] Trial 36 finished with value: 0.08982582872835432 and parameters: {'min_abs_corr': 0.0508296020048452, 'max_pair_corr': 0.9582378559860291, 'n_estimators': 1295, 'learning_rate': 0.0039016007699125463, 'max_depth': 11, 'min_child_weight': 0.002044677685065742, 'subsample': 0.7399850256759339, 'colsample_bytree': 0.8798660980468751, 'gamma': 0.791336358521689, 'reg_alpha': 2.383119919175889, 'reg_lambda': 4.86973879508497}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:21,451] Trial 37 finished with value: 0.10963189258663439 and parameters: {'min_abs_corr': 0.026391951573461626, 'max_pair_corr': 0.9633567603780584, 'n_estimators': 855, 'learning_rate': 0.002445298335619147, 'max_depth': 5, 'min_child_weight': 0.25790865989100753, 'subsample': 0.9538204451207196, 'colsample_bytree': 0.9152430905699388, 'gamma': 4.327720995860396, 'reg_alpha': 1.4146664172710488, 'reg_lambda': 3.0024033067151676}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:23,165] Trial 38 finished with value: 0.06748745083660318 and parameters: {'min_abs_corr': 0.04276698506216705, 'max_pair_corr': 0.9376974753276112, 'n_estimators': 959, 'learning_rate': 0.04034777519804922, 'max_depth': 12, 'min_child_weight': 1.327276648816281, 'subsample': 0.924035820869274, 'colsample_bytree': 0.8741486718023042, 'gamma': 0.2714569021441202, 'reg_alpha': 1.9169792222795792, 'reg_lambda': 0.40590289829941906}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:24,608] Trial 39 finished with value: 0.09944807801306119 and parameters: {'min_abs_corr': 0.0795295878910138, 'max_pair_corr': 0.9262626406541646, 'n_estimators': 1083, 'learning_rate': 0.0013716323977582374, 'max_depth': 6, 'min_child_weight': 0.013681951874426439, 'subsample': 0.9877175531840406, 'colsample_bytree': 0.4061676251989948, 'gamma': 1.4746110071106024, 'reg_alpha': 1.7509332538048037, 'reg_lambda': 0.8412907580450844}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:26,061] Trial 40 finished with value: 0.09905460314795256 and parameters: {'min_abs_corr': 0.005996188911844856, 'max_pair_corr': 0.9830922333403355, 'n_estimators': 554, 'learning_rate': 0.012547514147704766, 'max_depth': 3, 'min_child_weight': 0.034415976448608554, 'subsample': 0.8826858083868753, 'colsample_bytree': 0.962491049610945, 'gamma': 1.882928944601877, 'reg_alpha': 0.6862094228192104, 'reg_lambda': 0.054919243003719975}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:33,712] Trial 41 finished with value: 0.06345509922986357 and parameters: {'min_abs_corr': 0.0621260633380915, 'max_pair_corr': 0.9700297156566071, 'n_estimators': 1243, 'learning_rate': 0.001690893464609946, 'max_depth': 7, 'min_child_weight': 0.003436936410590419, 'subsample': 0.7950536528083758, 'colsample_bytree': 0.8211870564693065, 'gamma': 0.04099386581559757, 'reg_alpha': 2.8400372435589727, 'reg_lambda': 1.7727868706196888}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:53,311] Trial 42 finished with value: 0.05825615346544448 and parameters: {'min_abs_corr': 0.05655995019084388, 'max_pair_corr': 0.9716061618957225, 'n_estimators': 1389, 'learning_rate': 0.001583111202024327, 'max_depth': 9, 'min_child_weight': 0.004156626231010337, 'subsample': 0.8409724295066775, 'colsample_bytree': 0.9184033736036309, 'gamma': 0.003327594656047865, 'reg_alpha': 2.6893659917339883, 'reg_lambda': 1.590802799447164}. Best is trial 28 with value: 0.05735471330609752.
