Best trial: 431. Best value: 0.0288038: 100%
 1000/1000 [7:52:59<00:00, 29.78s/it]
[I 2025-08-01 09:41:54,363] Trial 40 finished with value: 0.03296876799537744 and parameters: {'min_abs_corr': 0.03600695048536545, 'max_pair_corr': 0.9193210518570124, 'iterations': 1124, 'learning_rate': 0.03227453009033354, 'depth': 3, 'l2_leaf_reg': 3.980481194935182, 'subsample': 0.5852287871519356, 'rsm': 0.9543062989433455, 'bagging_temperature': 0.3320194236444492}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:42:13,706] Trial 41 finished with value: 0.029773137280748114 and parameters: {'min_abs_corr': 0.04497693198028547, 'max_pair_corr': 0.9344321886465786, 'iterations': 1414, 'learning_rate': 0.05185278319154483, 'depth': 5, 'l2_leaf_reg': 5.412874080427476, 'subsample': 0.6214928123409995, 'rsm': 0.9303309057990045, 'bagging_temperature': 0.2388295564171164}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:42:33,464] Trial 42 finished with value: 0.030599952984098056 and parameters: {'min_abs_corr': 0.045136618153985696, 'max_pair_corr': 0.9339987442095629, 'iterations': 1459, 'learning_rate': 0.022838284705104055, 'depth': 5, 'l2_leaf_reg': 5.637121108791442, 'subsample': 0.5248928548099677, 'rsm': 0.9299685394071351, 'bagging_temperature': 0.21286635221015582}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:42:58,283] Trial 43 finished with value: 0.03121888235597829 and parameters: {'min_abs_corr': 0.042699461399835145, 'max_pair_corr': 0.917523963162359, 'iterations': 1311, 'learning_rate': 0.037716654955141114, 'depth': 6, 'l2_leaf_reg': 6.429968984864771, 'subsample': 0.6082712976864239, 'rsm': 0.974682730983709, 'bagging_temperature': 0.24085570607331572}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:43:17,626] Trial 44 finished with value: 0.030575320136342815 and parameters: {'min_abs_corr': 0.03688678433203733, 'max_pair_corr': 0.933321030764744, 'iterations': 1402, 'learning_rate': 0.020080389863790335, 'depth': 5, 'l2_leaf_reg': 4.50061152349982, 'subsample': 0.9301194397249982, 'rsm': 0.9035381163593419, 'bagging_temperature': 0.3175566380469467}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:43:30,895] Trial 45 finished with value: 0.0313593192910928 and parameters: {'min_abs_corr': 0.029242393520774644, 'max_pair_corr': 0.9227588721677037, 'iterations': 1541, 'learning_rate': 0.052668829793116954, 'depth': 4, 'l2_leaf_reg': 5.211357920593071, 'subsample': 0.7086074895738587, 'rsm': 0.9431245187159432, 'bagging_temperature': 0.13844513758989557}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:43:42,012] Trial 46 finished with value: 0.032834529328817155 and parameters: {'min_abs_corr': 0.016484736863475256, 'max_pair_corr': 0.9407528211062738, 'iterations': 1183, 'learning_rate': 0.10417246528078135, 'depth': 4, 'l2_leaf_reg': 4.12334212540289, 'subsample': 0.5775930473541606, 'rsm': 0.8776208492627537, 'bagging_temperature': 0.43463299524367177}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:44:20,092] Trial 47 finished with value: 0.0319666098517331 and parameters: {'min_abs_corr': 0.025381323627119163, 'max_pair_corr': 0.9057285780272771, 'iterations': 1263, 'learning_rate': 0.013528380400117378, 'depth': 7, 'l2_leaf_reg': 2.9022539742204847, 'subsample': 0.5513962234588754, 'rsm': 0.9974744124144357, 'bagging_temperature': 0.3424655713663049}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:44:41,707] Trial 48 finished with value: 0.03091176474725889 and parameters: {'min_abs_corr': 0.05949977389356021, 'max_pair_corr': 0.9353421890709243, 'iterations': 1069, 'learning_rate': 0.025268465056188974, 'depth': 6, 'l2_leaf_reg': 6.671251735072179, 'subsample': 0.7738110405700757, 'rsm': 0.8540952204865189, 'bagging_temperature': 0.07287867522426256}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:45:01,966] Trial 49 finished with value: 0.030558951246915843 and parameters: {'min_abs_corr': 0.03794365647698954, 'max_pair_corr': 0.9499463397869021, 'iterations': 1418, 'learning_rate': 0.03478936855792174, 'depth': 5, 'l2_leaf_reg': 5.792765673669072, 'subsample': 0.5006403754430931, 'rsm': 0.9715516898500421, 'bagging_temperature': 0.17913934902192102}. Best is trial 33 with value: 0.02960832058324651.
